Statement,Speaker,Rating,Date,BinaryTarget
Teachers play a key role in shaping the minds and values of future generations.,Dr. Neha Verma,Medium,2024-12-17,0
Online learning has made education accessible to students in remote areas.,Anita Desai,Low,2025-02-10,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,High,2025-01-04,0
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Medium,2024-11-08,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Medium,2025-07-04,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Neha Verma,Medium,2025-09-21,0
Scholarships and financial aid allow talented students to pursue higher studies.,Kiran Bhatia,Medium,2024-10-31,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Medium,2025-02-01,0
Students learn better when education is connected to real-life applications.,Mohit Agarwal,Low,2025-04-23,1
Online learning has made education accessible to students in remote areas.,Rita Sahu,High,2025-01-10,1
Vocational training helps students develop practical skills for real-world jobs.,Prof. Rajesh Kumar,Medium,2024-11-07,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Meera Sharma,Medium,2024-11-13,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,Medium,2025-09-17,0
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Medium,2025-03-30,0
Students learn better when education is connected to real-life applications.,Arun Patel,Medium,2024-12-28,0
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,Low,2025-08-28,1
Vocational training helps students develop practical skills for real-world jobs.,Anita Desai,Low,2025-05-01,1
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Medium,2025-06-22,0
Students learn better when education is connected to real-life applications.,Anita Desai,High,2025-01-12,0
Vocational training helps students develop practical skills for real-world jobs.,Prof. Rajesh Kumar,High,2024-10-25,1
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2025-06-04,1
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Medium,2025-01-17,1
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,Low,2025-02-11,0
Teachers play a key role in shaping the minds and values of future generations.,Rita Sahu,Low,2024-11-25,1
Students learn better when education is connected to real-life applications.,Kiran Bhatia,High,2025-08-02,1
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,Low,2025-06-08,1
Modern classrooms are adopting smart boards and interactive learning tools.,Prof. Rajesh Kumar,High,2025-04-26,1
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Low,2025-06-24,0
The use of artificial intelligence is transforming modern education systems.,Rita Sahu,Medium,2024-12-01,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2025-07-02,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Meera Sharma,Low,2024-11-23,0
Students learn better when education is connected to real-life applications.,Vikas Menon,Low,2025-08-11,1
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,High,2025-02-22,1
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2025-03-24,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,High,2025-09-11,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,High,2024-12-20,0
Students learn better when education is connected to real-life applications.,Anita Desai,High,2025-05-09,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Kiran Bhatia,Medium,2025-03-02,1
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Low,2024-11-23,0
Teachers play a key role in shaping the minds and values of future generations.,Prof. Rajesh Kumar,Low,2025-01-18,1
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2025-07-05,1
Students learn better when education is connected to real-life applications.,Dr. Neha Verma,High,2025-05-14,1
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,High,2024-11-01,1
Vocational training helps students develop practical skills for real-world jobs.,Vikas Menon,Medium,2024-10-15,1
Teachers play a key role in shaping the minds and values of future generations.,Kiran Bhatia,Low,2025-05-06,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,Low,2025-05-29,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2024-11-05,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,High,2025-06-26,0
Vocational training helps students develop practical skills for real-world jobs.,Dr. Meera Sharma,Medium,2025-09-22,1
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,High,2025-07-16,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Meera Sharma,High,2025-09-29,0
Students learn better when education is connected to real-life applications.,Vikas Menon,Medium,2025-09-20,0
Students learn better when education is connected to real-life applications.,Kiran Bhatia,High,2025-03-31,1
Online learning has made education accessible to students in remote areas.,Arun Patel,Low,2025-07-29,1
Vocational training helps students develop practical skills for real-world jobs.,Dr. Meera Sharma,Low,2024-11-21,0
The use of artificial intelligence is transforming modern education systems.,Sandeep Reddy,Low,2025-03-18,1
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,Low,2024-12-19,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,High,2025-05-28,1
Digital libraries have replaced traditional ones in many universities.,Kiran Bhatia,Low,2025-06-02,1
Online learning has made education accessible to students in remote areas.,Vikas Menon,Medium,2024-11-10,1
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,High,2025-02-18,1
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,Low,2024-10-19,0
The use of artificial intelligence is transforming modern education systems.,Kiran Bhatia,Low,2025-02-06,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2025-06-12,0
Online learning has made education accessible to students in remote areas.,Anita Desai,High,2025-03-22,1
Scholarships and financial aid allow talented students to pursue higher studies.,Vikas Menon,Low,2024-10-12,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Neha Verma,Low,2025-08-13,0
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,Medium,2024-11-22,0
Vocational training helps students develop practical skills for real-world jobs.,Vikas Menon,Low,2025-08-16,1
Modern classrooms are adopting smart boards and interactive learning tools.,Vikas Menon,Medium,2025-04-12,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Vikas Menon,High,2025-08-10,1
Online learning has made education accessible to students in remote areas.,Rita Sahu,Low,2025-07-30,1
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Meera Sharma,High,2024-10-31,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2024-12-02,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Medium,2024-10-24,1
Scholarships and financial aid allow talented students to pursue higher studies.,Arun Patel,Low,2025-07-19,0
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,Low,2024-12-09,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,High,2025-07-04,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,High,2025-02-25,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-05-28,0
Scholarships and financial aid allow talented students to pursue higher studies.,Arun Patel,Medium,2025-03-14,1
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,High,2024-10-17,0
Students learn better when education is connected to real-life applications.,Rita Sahu,High,2024-11-28,1
Online learning has made education accessible to students in remote areas.,Anita Desai,Low,2025-05-23,1
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,High,2024-10-23,0
Digital libraries have replaced traditional ones in many universities.,Dr. Meera Sharma,Medium,2025-03-01,1
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,Low,2025-03-28,0
Vocational training helps students develop practical skills for real-world jobs.,Kiran Bhatia,Low,2025-05-05,0
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,Medium,2024-12-22,0
Modern classrooms are adopting smart boards and interactive learning tools.,Mohit Agarwal,Low,2025-04-13,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,High,2025-01-15,1
Online learning has made education accessible to students in remote areas.,Vikas Menon,Medium,2025-04-04,0
Vocational training helps students develop practical skills for real-world jobs.,Prof. Rajesh Kumar,High,2025-01-29,1
Digital libraries have replaced traditional ones in many universities.,Anita Desai,High,2025-08-23,0
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,Medium,2024-10-24,0
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Medium,2025-01-13,0
"Education should focus on creativity and critical thinking, not just memorization.",Vikas Menon,Medium,2025-04-24,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,High,2025-08-03,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Arun Patel,Medium,2025-02-14,1
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,High,2025-04-05,1
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-04-12,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2025-03-24,0
Vocational training helps students develop practical skills for real-world jobs.,Dr. Meera Sharma,Low,2025-02-03,0
Students learn better when education is connected to real-life applications.,Kiran Bhatia,High,2025-09-09,1
Students learn better when education is connected to real-life applications.,Anita Desai,Low,2025-10-05,0
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Low,2025-09-12,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,Medium,2025-08-23,0
The use of artificial intelligence is transforming modern education systems.,Vikas Menon,Low,2025-02-23,1
Scholarships and financial aid allow talented students to pursue higher studies.,Mohit Agarwal,Medium,2025-08-27,1
Digital libraries have replaced traditional ones in many universities.,Kiran Bhatia,High,2024-10-16,1
Teachers play a key role in shaping the minds and values of future generations.,Dr. Meera Sharma,High,2025-01-24,1
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,Low,2025-07-25,0
Teachers play a key role in shaping the minds and values of future generations.,Mohit Agarwal,Low,2024-11-04,0
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,Low,2025-05-27,1
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,High,2025-07-04,1
"Education should focus on creativity and critical thinking, not just memorization.",Mohit Agarwal,Medium,2025-09-09,1
Teachers play a key role in shaping the minds and values of future generations.,Kiran Bhatia,Low,2024-11-23,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2025-08-18,0
Digital libraries have replaced traditional ones in many universities.,Dr. Neha Verma,High,2025-06-20,0
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,High,2025-01-31,0
Online learning has made education accessible to students in remote areas.,Anita Desai,High,2025-01-07,0
Teachers play a key role in shaping the minds and values of future generations.,Anita Desai,Medium,2025-06-02,0
Students learn better when education is connected to real-life applications.,Dr. Neha Verma,High,2024-11-07,1
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,Medium,2025-03-25,0
Modern classrooms are adopting smart boards and interactive learning tools.,Vikas Menon,High,2025-08-07,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-01-18,0
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,High,2025-07-07,1
"Education should focus on creativity and critical thinking, not just memorization.",Dr. Meera Sharma,Low,2025-03-07,0
Teachers play a key role in shaping the minds and values of future generations.,Prof. Rajesh Kumar,High,2024-11-20,1
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Medium,2025-07-21,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,Low,2025-03-10,0
Students learn better when education is connected to real-life applications.,Kiran Bhatia,Low,2025-05-07,0
The use of artificial intelligence is transforming modern education systems.,Rita Sahu,High,2025-02-21,1
"Education should focus on creativity and critical thinking, not just memorization.",Vikas Menon,Medium,2024-10-13,0
Vocational training helps students develop practical skills for real-world jobs.,Vikas Menon,Low,2024-11-06,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2025-07-06,1
Teachers play a key role in shaping the minds and values of future generations.,Anita Desai,High,2025-07-29,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Low,2024-12-13,1
Digital libraries have replaced traditional ones in many universities.,Sandeep Reddy,High,2025-08-04,1
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,Low,2025-09-20,1
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,Medium,2025-01-17,1
Online learning has made education accessible to students in remote areas.,Arun Patel,Low,2025-08-25,0
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Low,2025-04-21,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-08-07,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,Medium,2025-07-14,0
Modern classrooms are adopting smart boards and interactive learning tools.,Prof. Rajesh Kumar,Low,2024-12-05,0
Students learn better when education is connected to real-life applications.,Mohit Agarwal,High,2024-12-23,0
Digital libraries have replaced traditional ones in many universities.,Dr. Neha Verma,High,2025-06-19,1
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,Low,2025-01-22,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Anita Desai,High,2024-11-20,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,Medium,2024-12-14,0
Teachers play a key role in shaping the minds and values of future generations.,Mohit Agarwal,High,2025-04-07,1
Teachers play a key role in shaping the minds and values of future generations.,Anita Desai,High,2024-12-23,1
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Low,2025-06-19,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2024-11-29,1
"Education should focus on creativity and critical thinking, not just memorization.",Mohit Agarwal,Medium,2025-01-14,1
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,High,2024-12-29,0
Teachers play a key role in shaping the minds and values of future generations.,Mohit Agarwal,Medium,2024-10-11,0
Modern classrooms are adopting smart boards and interactive learning tools.,Vikas Menon,High,2025-09-15,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Meera Sharma,High,2025-05-19,1
Scholarships and financial aid allow talented students to pursue higher studies.,Arun Patel,High,2025-09-27,1
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,Low,2025-09-28,0
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,Medium,2024-10-27,0
